id,name,approach,old_url,new_url,old_source,new_source,reach
422,Bbq Platter,candidate,,https://upload.wikimedia.org/wikipedia/commons/1/18/BBQ_Platter.jpg,,Wikimedia Commons via Openverse (BBQ Platter) — query: Bbq Platter,200
72,Cherry Tomato,candidate,,https://upload.wikimedia.org/wikipedia/commons/7/77/Cherry_Tomato_Mix_%286033999022%29.jpg,,Wikimedia Commons via Openverse (Cherry Tomato Mix (6033999022)) — query: Cherry Tomato,200
1485,Chicken Roll,candidate,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Hot_Chicken_Roll_%28cropped%29.jpg,,Wikimedia Commons via Openverse (Hot Chicken Roll (cropped)) — query: Chicken Roll,429
129,Eggplant,candidate,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Eggplant.jpg,,Wikimedia Commons via Openverse (Eggplant) — query: Eggplant,200
204,Gosht Chawal,recovery,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Saloonay_Chawal_With_Aloo_Gosht.JPG,Wikimedia Commons via Openverse (Saloonay Chawal With Aloo Gosht ★),Wikimedia Commons via Openverse (Saloonay Chawal With Aloo Gosht ★),429
608,Imarti,candidate,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Imarti.jpg,,Wikimedia Commons via Openverse (Imarti) — query: Imarti,429
454,Kesar Kulfi,candidate,,https://upload.wikimedia.org/wikipedia/commons/0/00/Mahaveer_matka_kulfi_vaishal_kesar_pista_kulfi.JPG,,Wikimedia Commons via Openverse (Mahaveer matka kulfi vaishal kesar pista kulfi) — query: Kesar Kulfi,429
771,Lemon Tea,candidate,,https://upload.wikimedia.org/wikipedia/commons/8/89/Lemon_tea-04.jpg,,Wikimedia Commons via Openverse (Lemon tea-04) — query: Lemon Tea,429
972,Paneer Naan,recovery,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Butter_Naan_With_Paneer_Butter_Masala.jpg,,Wikimedia Commons via Openverse (Butter Naan With Paneer Butter Masala),429
1239,Papri Chaat,recovery,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Bhalla_Papri_Chaat_with_saunth_chutney.jpg,,Wikimedia Commons via Openverse (Bhalla Papri Chaat with saunth chutney),200
1473,Pistachio,candidate,,https://upload.wikimedia.org/wikipedia/commons/0/04/Pistachio.jpg,,Wikimedia Commons via Openverse (Pistachio) — query: Pistachio,429
997,Puri,candidate,,https://upload.wikimedia.org/wikipedia/commons/3/39/Puri.jpg,,Wikimedia Commons via Openverse (Puri) — query: Puri,429
1170,Sajji,recovery,,https://upload.wikimedia.org/wikipedia/commons/0/08/Sajji.JPG,Wikimedia Commons via Openverse (Sajji ★),Wikimedia Commons via Openverse (Sajji ★),429
604,Sheer Khurma,recovery,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Sheer_Khurma.jpg,,Wikimedia Commons via Openverse (Sheer Khurma),429
1265,Sweet Corn,candidate,,https://upload.wikimedia.org/wikipedia/commons/f/f7/A_shot_of_Sweet_corn.jpg,,Wikimedia Commons via Openverse (A shot of Sweet corn) — query: Sweet Corn,429
258,Sweet Rice,candidate,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Sweet_rice_with_lotus_seed.jpg,,Wikimedia Commons via Openverse (Sweet rice with lotus seed) — query: Sweet Rice,429
1486,Vanilla Custard,candidate,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Vanilla_Custard.jpg,,Wikimedia Commons via Openverse (Vanilla Custard) — query: Vanilla Custard,429
99,Wild Garlic,candidate,,https://upload.wikimedia.org/wikipedia/commons/4/45/Photo_of_Allium_Ursinum%2C_wild_garlic%2C_north-west_Hampshire%2C_UK%2C_May_2014.jpg,,"Wikimedia Commons via Openverse (Photo of Allium Ursinum, wild garlic, north-west Hampshire, UK, May 2014) — query: Wild Garlic",429
