id	name	approach	level	conf	url	title	license	reach	flags	reason
1469	Almond		REVIEW							recovery URL available but title/name confidence below HIGH
465	Aloo Bukhara Halwa		REVIEW							no curated/recovery/candidate source
796	Aloo Bukhara Sharbat	recovery	REVIEW	1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Plum_juice.jpg/640px-Plum_juice.jpg	Aloo Bukhara Sharbat	cc0	400	ur-broken	restore same food's Pass-1 URL; url definitively broken (400)
248	Aloo Pulao		REVIEW							recovery URL available but title/name confidence below HIGH
1051	Aloo Samosa Chaat		REVIEW							no curated/recovery/candidate source
526	Anjeer Halwa		REVIEW							no curated/recovery/candidate source
1456	Apple		REVIEW							recovery URL available but title/name confidence below HIGH
763	Apricot Drink		REVIEW							no curated/recovery/candidate source
652	Apricot Juice		REVIEW							recovery URL available but title/name confidence below HIGH
178	Arvi Chawal		REVIEW							no curated/recovery/candidate source
808	Badam Doodh		REVIEW							no curated/recovery/candidate source
240	Balti Pulao		REVIEW							no curated/recovery/candidate source
15	Banana		REVIEW							recovery URL available but title/name confidence below HIGH
422	Bbq Platter	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/1/18/BBQ_Platter.jpg	BBQ Platter	by-sa	200	reachable	Openverse best (2/2 token(s))
1002	Bedmi Puri		REVIEW							no curated/recovery/candidate source
287	Beef Chapli		REVIEW							no curated/recovery/candidate source
285	Beef Haleem		REVIEW							recovery URL available but title/name confidence below HIGH
284	Beef Korma		REVIEW							no curated/recovery/candidate source
405	Beef Paye		REVIEW							no curated/recovery/candidate source
247	Beef Pulao		REVIEW							recovery URL available but title/name confidence below HIGH
1480	Beef Qeema		REVIEW							no curated/recovery/candidate source
1173	Beef Sajji		REVIEW							no curated/recovery/candidate source
288	Beef Seekh Kebab		REVIEW							recovery URL available but title/name confidence below HIGH
599	Besan Halwa		REVIEW							recovery URL available but title/name confidence below HIGH
849	Besan Roti		REVIEW							recovery URL available but title/name confidence below HIGH
154	Bhindi Chawal		REVIEW							recovery URL available but title/name confidence below HIGH
416	Bihari Kebab		REVIEW							no curated/recovery/candidate source
289	Bong Paye		REVIEW							no curated/recovery/candidate source
614	Boondi Laddu		REVIEW							no curated/recovery/candidate source
136	Bottle Gourd		REVIEW							recovery URL available but title/name confidence below HIGH
208	Bread Chawal		REVIEW							no curated/recovery/candidate source
125	Carrot		REVIEW							recovery URL available but title/name confidence below HIGH
1079	Chaat		REVIEW							no curated/recovery/candidate source
764	Chai		REVIEW							recovery URL available but title/name confidence below HIGH
183	Chana Chawal		REVIEW							no curated/recovery/candidate source
250	Chana Pulao		REVIEW							recovery URL available but title/name confidence below HIGH
1027	Chana Samosa		REVIEW							recovery URL available but title/name confidence below HIGH
1050	Chana Tikki		REVIEW							no curated/recovery/candidate source
1257	Chapli Roll		REVIEW							no curated/recovery/candidate source
72	Cherry Tomato	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/7/77/Cherry_Tomato_Mix_%286033999022%29.jpg	Cherry Tomato Mix (6033999022)	by	200	reachable	Openverse best (2/2 token(s))
332	Chicken Chapli		REVIEW							no curated/recovery/candidate source
398	Chicken Haleem		REVIEW							recovery URL available but title/name confidence below HIGH
1481	Chicken Kofta		REVIEW							no curated/recovery/candidate source
305	Chicken Koyla Karahi		REVIEW							no curated/recovery/candidate source
299	Chicken Malai Boti		REVIEW							no curated/recovery/candidate source
372	Chicken Rogan Josh		REVIEW							recovery URL available but title/name confidence below HIGH
1485	Chicken Roll	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/b/b2/Hot_Chicken_Roll_%28cropped%29.jpg	Hot Chicken Roll (cropped)	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
1172	Chicken Sajji		REVIEW							recovery URL available but title/name confidence below HIGH
304	Chicken Shinwari		REVIEW							no curated/recovery/candidate source
63	Colocasia		REVIEW							recovery URL available but title/name confidence below HIGH
1478	Daal Mash		REVIEW							no curated/recovery/candidate source
1039	Dahi Bhalla Chaat		REVIEW							recovery URL available but title/name confidence below HIGH
827	Dalhi Roti		REVIEW							no curated/recovery/candidate source
1488	Desi Omelette		REVIEW							no curated/recovery/candidate source
623	Doodh		REVIEW							recovery URL available but title/name confidence below HIGH
448	Doodh Jalebi		REVIEW							recovery URL available but title/name confidence below HIGH
